id_casa,id_contribucion,fecha,pagado,realizado
1,2,2026-02-16,0,N
5,2,2026-02-16,0,N
2,2,2026-04-16,0,N
7,2,2026-04-16,0,N
6,2,2026-05-15,0,N
12,2,2026-05-15,0,N
8,2,2026-06-15,0,N
9,2,2026-06-15,0,N
10,2,2026-08-15,0,N
11,2,2026-08-15,0,N
1,2,2026-10-14,0,N
5,2,2026-10-14,0,N
2,2,2026-12-14,0,N
7,2,2026-12-14,0,N
6,2,2027-01-28,0,N
12,2,2027-01-28,0,N
8,2,2027-03-28,0,N
9,2,2027-03-28,0,N
10,2,2027-05-27,0,N
11,2,2027-05-27,0,N
1,2,2027-07-26,0,N
5,2,2027-07-26,0,N
2,2,2027-09-25,0,N
7,2,2027-09-25,0,N
6,2,2027-11-24,0,N
12,2,2027-11-24,0,N
